name,evanmiyaRank,evanmiyaOBPR,evanmiyaDBPR,evanmiyaBPR,evanmiyaOffRank,evanmiyaDefRank,evanmiyaTrueTempo,evanmiyaTempoRank,evanmiyaInjuryRank,evanmiyaRosterRank,evanmiyaKillShotsPerGame,evanmiyaKillShotsAllowedPerGame,evanmiyaTotalKillShots,evanmiyaTotalKillShotsAllowed,evanmiyaResumeRank,evanmiyaHomeRank
Stetson,195,4.7,-6.4,-1.7,84,322,66.5,315,194,135,0.46,0.32,13,9,147,117
Rider,196,1.2,-2.9,-1.7,145,254,67.1,289,196,226,0.41,0.48,12,14,182,348
UTEP,197,-5.8,4,-1.8,304,78,69.7,148,195,233,0.33,0.47,10,14,201,279
Detroit,198,4.5,-6.4,-1.9,88,321,69.2,175,197,150,0.63,0.44,20,14,169,211
Loyola Chicago,199,0.1,-2,-1.9,171,227,68,233,198,215,0.35,0.48,11,15,272,330
Buffalo,200,-1.1,-0.9,-2,205,197,73.4,13,200,198,0.72,0.31,21,9,200,26
Grambling,201,-5,2.9,-2,293,99,68.1,229,201,202,0.62,0.34,18,10,160,318
Appalachian State,202,-2.9,0.8,-2.1,243,150,66.9,298,202,223,0.38,0.59,11,17,195,259
Mercer,203,-2.2,0.1,-2.1,229,171,66.4,317,203,228,0.35,0.48,11,15,222,307
Tarleton State,204,-3.5,1.3,-2.2,262,138,68.4,210,204,195,0.57,0.25,16,7,161,9
Utah Tech,205,-0.4,-1.9,-2.3,187,222,71,69,205,238,0.41,0.34,12,10,166,193
Northern Iowa,206,-1.3,-1.2,-2.5,209,205,69.3,170,208,187,0.71,0.35,22,11,203,295
Saint Thomas (Minn.),207,2,-4.5,-2.5,132,287,67.9,241,206,179,0.42,0.45,13,14,175,34
Jacksonville,208,-2.8,0.2,-2.7,241,168,63.3,360,210,230,0.46,0.42,12,11,212,314
Pepperdine,209,-0.2,-2.5,-2.7,176,244,73.6,10,207,220,0.39,0.36,11,10,232,199
Murray State,210,1.1,-3.9,-2.8,149,274,68.1,227,209,185,0.35,0.61,11,19,216,51
Georgetown,211,-0.2,-2.6,-2.8,178,247,70.4,106,211,169,0.47,0.59,15,19,249,338
New Mexico State,212,-0.5,-2.5,-3,188,240,70.2,111,232,191,0.43,0.48,9,10,230,222
Georgia Southern,213,-3.9,0.8,-3.1,275,149,68.2,226,212,263,0.3,0.5,9,15,208,108
La Salle,214,-2.4,-0.7,-3.2,234,193,69.9,137,213,235,0.15,0.42,5,14,227,205
Weber State,215,-3.8,0.5,-3.3,270,159,67,297,214,224,0.39,0.61,12,19,209,60
Wofford,216,3.4,-6.7,-3.3,104,327,66.5,314,215,211,0.47,0.37,14,11,225,46
East Carolina,217,-3.9,0.5,-3.4,273,158,69.9,139,227,217,0.68,0.48,21,15,214,164
Northwestern State,218,-0.3,-3,-3.4,184,259,69.1,179,216,204,0.34,0.28,11,9,189,129
Howard,219,-1.7,-1.8,-3.5,218,217,71,70,217,199,0.55,0.31,16,9,191,10
Pacific,220,0.5,-4,-3.5,164,276,71.3,54,218,189,0.19,0.58,6,18,207,90
South Carolina,221,-1.5,-2,-3.6,214,231,66.4,320,219,208,0.28,0.75,9,24,279,363
Rice,222,1.7,-5.4,-3.7,139,302,71.7,42,220,225,0.52,0.66,15,19,239,263
Queens,223,0,-3.8,-3.8,172,273,71.5,46,221,218,0.3,0.53,9,16,186,138
Campbell,224,-0.6,-3.3,-3.9,191,262,65.7,329,222,186,0.44,0.38,14,12,211,214
Rhode Island,225,-5.6,1.6,-3.9,301,125,69.5,165,223,247,0.45,0.39,14,12,245,301
Fort Wayne,226,-2.6,-1.4,-4,237,211,70.4,100,224,249,0.37,0.47,11,14,218,342
North Dakota State,227,-2.1,-1.9,-4,224,225,69.5,161,225,214,0.39,0.71,12,22,219,226
Morehead State,228,-2.7,-1.3,-4,239,206,65.3,347,226,201,0.39,0.46,11,13,198,154
Boston University,229,-3.2,-1.1,-4.3,251,204,67.2,282,228,275,0.58,0.58,18,18,229,255
Winthrop,230,2.6,-7,-4.4,118,331,69.2,177,229,203,0.3,0.57,9,17,237,281
UMBC,231,1.1,-5.7,-4.5,148,306,69,183,230,178,0.68,0.55,21,17,204,91
American,232,-2.1,-2.5,-4.6,226,243,65,350,231,232,0.22,0.56,7,18,224,304
Western Carolina,233,-2.1,-2.6,-4.7,227,246,69.6,158,233,234,0.2,0.53,6,16,228,61
Delaware,234,-1.9,-2.8,-4.7,222,252,68.5,202,245,241,0.31,0.53,10,17,243,149
Jacksonville State,235,-2.3,-2.5,-4.8,230,242,67.8,253,239,245,0.36,0.61,10,17,252,268
East Tennessee State,236,-2.3,-2.4,-4.8,231,236,67.6,267,234,242,0.5,0.47,15,14,246,311
Fairfield,237,-5,0.1,-4.9,294,170,66.9,301,235,264,0.3,0.4,9,12,233,219
Minnesota,238,-3.2,-1.7,-4.9,253,216,67.3,277,236,207,0.33,0.6,10,18,296,350
Army,239,-1.3,-3.7,-5,211,267,70,131,237,246,0.45,0.35,14,11,226,286
Robert Morris,240,-4.2,-0.9,-5,280,195,68,234,238,239,0.48,0.55,15,17,215,201
Milwaukee,241,-3.2,-1.9,-5.1,255,220,73,21,240,205,0.52,0.62,15,18,205,67
San Diego,242,2.1,-7.2,-5.2,128,334,70.3,107,241,216,0.48,0.72,14,21,264,327
Sacramento State,243,-1.7,-3.5,-5.2,219,264,64.5,355,242,236,0.3,0.5,9,15,236,80
Florida International,244,-3.3,-2.2,-5.5,256,233,71.9,38,248,240,0.69,0.56,22,18,234,135
Nicholls State,245,-3.1,-2.5,-5.5,249,238,72.3,30,243,213,0.52,0.52,14,14,250,63
Niagara,246,-2.8,-2.7,-5.5,242,249,64.8,353,244,269,0.32,0.25,9,7,235,180
SIU Edwardsville,247,-5.5,-0.2,-5.6,299,179,71.4,51,246,260,0.48,0.58,15,18,220,220
Oregon State,248,-4.5,-1.3,-5.8,286,207,65.4,340,250,244,0.57,0.53,17,16,282,313
North Florida,249,1.7,-7.6,-5.9,138,342,69.8,143,247,227,0.34,0.59,10,17,240,42
Lafayette,250,-6.2,0.3,-6,310,163,65.4,343,249,256,0.53,0.59,18,20,241,322
Texas Southern,999,-6.2,0.3,-6,310,163,65.4,343,249,256,0.53,0.59,18,20,241,322
Georgia State,999,-6.2,0.3,-6,310,163,65.4,343,249,256,0.53,0.59,18,20,241,322
Saint Peters's,999,-6.2,0.3,-6,310,163,65.4,343,249,256,0.53,0.59,18,20,241,322
Southeast Missouri State,999,-6.2,0.3,-6,310,163,65.4,343,249,256,0.53,0.59,18,20,241,322
Farleigh Dickinson,999,-6.2,0.3,-6,310,163,65.4,343,249,256,0.53,0.59,18,20,241,322
